;SIMULATION DB;12/4/2019;;;1. Lampost;1. Lampost;2. Lighting ;2. Lighting ;3. Energy ;3. Energy ;3. Energy ;4. Public Safety ;4. Public Safety ;4. Public Safety ;5. Environmental Monitoring ;5. Environmental Monitoring ;5. Environmental Monitoring ;6. Signage ;7. Movement Monitoring ;7. Movement Monitoring ;8. Connectivity ;8. Connectivity ;8. Connectivity ;;
402;8. Risks;8.2 source 1;Item 1;AlphaNum;0;0;https://www.scientificamerican.com/article/led-lightbulb-concerns/;"https://www.lumenia.com/solutions/lumenia-cms-lum-central-management-system
";https://www3.nd.edu/~vgupta2/research/publications/lhgsg16.pdf;http://www.altenergy.org/renewables/solar/DIY/solar-safety.html;"https://news.energysage.com/how-safe-are-solar-batteries-for-your-home/
";https://reolink.com/pros-cons-of-surveillance-cameras-in-public-places/;http://www.telosystems.com/telo-ptt-solutions.php;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1253729/;https://www.cbc.ca/news/technology/san-diego-smart-city-parking-1.4498964;https://www.channelnewsasia.com/news/singapore/smart-lampposts-singapore-wont-shine-light-peoples-lives-10229804;Internal research;https://www.showcaseoutdoor.co.uk/lamp-post-advertising-vs-billboards/;https://ercapi.lightfair.com/convdata/lightfair/brochures/lia/CurrentByGE_CityIQ_specification.pdf;https://ercapi.lightfair.com/convdata/lightfair/brochures/lia/CurrentByGE_CityIQ_specification.pdf;https://www.staysmartonline.gov.au/protect-yourself/doing-things-safely/using-public-wireless-or-wifi-networks;https://www.electronicshub.org/wireless-communication-introduction-types-applications/;https://www.chroniclelive.co.uk/news/north-east-news/man-scaled-lamppost-remove-5g-14672752;;
403;8. Risks;8.3 source 2;Item 1;AlphaNum;0;0;https://gunnar.com/do-environmentally-friendly-led-lights-cause-blindness/;https://northwoodswebdesigns.com/secure/index.php?rp=/knowledgebase/1/Hacking-and-Content-Management-Systems-CMS-domains.html;" https://www.chargepoint.com/files/Ratepayer_Benefits_2017.pdf
";http://www.solarselections.co.uk/blog/security-systems-prevent-solar-panel-theft-solar-farms-uk;https://qz.com/1133123/batteries-cant-solve-the-worlds-biggest-energy-storage-problem-one-startup-has-a-solution/;0;0;0;https://media.consensys.net/how-can-blockchain-technology-help-fight-air-pollution-3bdcb1e1045f;https://eandt.theiet.org/content/articles/2018/04/privacy-concerns-over-singapore-s-sensor-packed-smart-lampposts/;0;0;0;0;0;0;https://www.jrseco.com/radiation-5g-antennas-restricted-uncertainty-about-danger-to-public-Negative impact on health/;;
404;8. Risks;8.4 source 3;Item 1;AlphaNum;0;0;0;0;0;0;0;0;0;0;0; https://arxiv.org/pdf/1710.01581.pdf;0;0;0;0;0;0;0;;
405;8. Risks;8.5 Source 1 - Short;Item 1;AlphaNum;0;0;https://www.scientificamerican.com/;https://www.lumenia.com/;https://www3.nd.edu/;http://www.altenergy.org/;https://news.energysage.com/;https://reolink.com/;http://www.telosystems.com/;https://www.ncbi.nlm.nih.gov/;https://www.cbc.ca/;https://www.channelnewsasia.com/;Internal research;https://www.showcaseoutdoor.co.uk/;https://ercapi.lightfair.com/;https://ercapi.lightfair.com/;https://www.staysmartonline.gov.au/;https://www.electronicshub.org/;https://www.chroniclelive.co.uk/;;
406;8. Risks;8.6 Source 2 - Short;Item 1;AlphaNum;0;0;https://gunnar.com/;https://northwoodswebdesigns.com/;https://www.chargepoint.com/;http://www.solarselections.co.uk/;https://qz.com/;0;0;0;https://media.consensys.net/;https://eandt.theiet.org/;0;0;0;0;0;0;https://www.jrseco.com/;;
407;8. Risks;8.7 Source 3 - Short;Item 1;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;https://arxiv.org/;0;0;0;0;0;0;0;;
408;8. Risks;8.1 Name;Item 2;AlphaNum;0;0;Harm to animals;Network crash;Security and safety risks (extreme weather, collisions, vandalism).;Bad weather (sunlight);Vandalism;Vandalism;Vandalism;Sound coverage;0;Cyber attacks(Hacking and Data leaks);0;0;0;Public acceptance;Connectivity;Network interference;Environmental risks;;
409;8. Risks;8.2 source 1;Item 2;AlphaNum;0;0;"https://spectrum.ieee.org/green-tech/conservation/led-streetlights-are-giving-neighborhoods-the-blues
";"https://www.lumenia.com/solutions/lumenia-cms-lum-central-management-system
";" https://www.globalindustrial.com/site/images/ideal-shield/ev-charging-station.pdf
";https://reneweconomy.com.au/solar-photovoltaics-and-wind-energy-the-climate-change-solution-69448/;"http://www.altenergy.org/renewables/solar/DIY/solar-safety.html
";https://www.kickstarter.com/projects/1287286080/the-l-eye-t-post-a-solar-cctv-lamp-posts-with-wifi;https://www.interphone-video.com/kit-controle-d-acces-fermax-contact-a-cle-ptt-platine-anti-vandalisme-472xbc1060-3608.html;http://streetsoundswireless.airnetix.com/FAQs.htm;0;https://www.channelnewsasia.com/news/singapore/smart-lampposts-singapore-wont-shine-light-peoples-lives-10229804;0;0;0;https://www.europeanparking.eu/media/1279/12122014_push_pull_a4_en.pdf;http://wjbq.com/portlands-new-led-street-lights-with-public-wi-fi-are-showing-up/;https://www.electronicshub.org/wireless-communication-introduction-types-applications/;http://emfsafetynetwork.org/how-to-oppose-small-cell-5g-towers/;;
410;8. Risks;8.3 source 2;Item 2;AlphaNum;0;0;https://www.sciencedaily.com/releases/2018/06/180612090618.htm;https://www.smart-energy.com/regional-news/europe-uk/street-lighting-problems-and-solutions/;http://mtmcongress.com/proceedngs/2017/Winter/2/25.RISKS%20AND%20SAFETY%20ISSUES%20RELATED%20TO%20USE%20OF%20ELECTRIC%20AND%20HYBRID%20VEHICLES.pdf;https://www.offsetsolar.com/blogs/offset-solar-blog/how-bad-weather-affects-solar;https://books.google.fr/books?id=uw_NBQAAQBAJ&pg=PA273&lpg=PA273&dq=vandilism+energy+storage+battery&source=bl&ots=wo6DEFFH7P&sig=ACfU3U3c878AWJ_WIazWyIi8VWJrMsKoAA&hl=fr&sa=X&ved=2ahUKEwj6t-GvuZ_gAhWHyoUKHZqpCSEQ6AEwC3oECAEQAQ#v=onepage&q=vandilism%20energy%20storage%20battery&f=false;https://en.wikipedia.org/wiki/Closed-circuit_television;0;0;0;https://arxiv.org/pdf/1710.01581.pdf;0;0;0;0;https://muftwifi.com/how-to-start-a-public-wifi-zone-business/;0;0;;
411;8. Risks;8.4 source 3;Item 2;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
412;8. Risks;8.5 Source 1 - Short;Item 2;AlphaNum;0;0;https://spectrum.ieee.org;https://www.lumenia.com/;https://www.globalindustrial.com/;https://reneweconomy.com.au/;http://www.altenergy.org/;https://www.kickstarter.com/;http://www.telosystems.com/;http://streetsoundswireless.airnetix.com/;0;https://www.channelnewsasia.com/;0;0;0;https://www.europeanparking.eu/;http://wjbq.com/;https://www.electronicshub.org/;http://emfsafetynetwork.org/;;
413;8. Risks;8.6 Source 2 - Short;Item 2;AlphaNum;0;0;https://www.sciencedaily.com/;https://www.smart-energy.com/;http://mtmcongress.com/;https://www.offsetsolar.com/;https://books.google.fr/;https://en.wikipedia.org/;0;0;0;https://arxiv.org/;0;0;0;0;https://muftwifi.com/;0;0;;
414;8. Risks;8.7 Source 3 - Short;Item 2;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
415;8. Risks;8.1 Name;Item 3;AlphaNum;0;0;Lack of public acceptance;0;0;0;0;Lack of public acceptance;0;0;0;Lack of scalability - coverage;0;0;0;0;0;Potential Negative impact on health;0;;
416;8. Risks;8.2 source 1;Item 3;AlphaNum;0;0;"https://spectrum.ieee.org/green-tech/conservation/led-streetlights-are-giving-neighborhoods-the-blues
";0;0;0;0;https://reolink.com/pros-cons-of-surveillance-cameras-in-public-places/;0;0;0; https://arxiv.org/pdf/1710.01581.pdf;0;0;0;0;0;https://www.electronicshub.org/wireless-communication-introduction-types-applications/;0;;
417;8. Risks;8.3 source 2;Item 3;AlphaNum;0;0;https://www.researchgate.net/publication/303547833_A_study_of_Acceptance_of_LED_Bulbs;0;0;0;0;0;0;0;0;https://www.cbc.ca/news/technology/san-diego-smart-city-parking-1.4498964;0;0;0;0;0;0;0;;
418;8. Risks;8.4 source 3;Item 3;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
419;8. Risks;8.5 Source 1 - Short;Item 3;AlphaNum;0;0;https://spectrum.ieee.org;0;0;0;0;https://reolink.com/;0;0;0;https://arxiv.org/;0;0;0;0;0;https://www.electronicshub.org/;0;;
420;8. Risks;8.6 Source 2 - Short;Item 3;AlphaNum;0;0;https://www.researchgate.net/;0;0;0;0;0;0;0;0;https://www.cbc.ca/;0;0;0;0;0;0;0;;
421;8. Risks;8.7 Source 3 - Short;Item 3;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
422;8. Risks;8.1 Name;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;Sensitivity to high temperature;0;0;0;0;0;0;0;;
423;8. Risks;8.2 source 1;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;https://arxiv.org/pdf/1710.01581.pdf;0;0;0;0;0;0;0;;
424;8. Risks;8.3 source 2;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;http://www.ijesi.org/papers/Vol(2)3%20(Version-3)/J236069.pdf;0;0;0;0;0;0;0;;
425;8. Risks;8.4 source 3;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
426;8. Risks;8.5 Source 1 - Short;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
427;8. Risks;8.6 Source 2 - Short;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
428;8. Risks;8.7 Source 3 - Short;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
429;8. Risks;8.1 Name;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
430;8. Risks;8.2 source 1;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
431;8. Risks;8.3 source 2;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
432;8. Risks;8.4 source 3;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
433;8. Risks;8.5 Source 1 - Short;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
434;8. Risks;8.6 Source 2 - Short;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
435;8. Risks;8.7 Source 3 - Short;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
